ENST00000341016	H2AP
ENST00000599962	H2BC12L
ENST00000644869	H3-4
ENST00000645741	H2AC25
ENST00000647549	H2BC26
ENST00000644761	H2BC27P
ENST00000615853	H2AB3
ENST00000454426	H2AC3P
ENST00000244573	H1-1
ENST00000621411	H3C2
ENST00000615868	H2AC4
ENST00000612966	H3C3
ENST00000338379	H1-6
ENST00000304218	H1-4
ENST00000634910	H2BC6
ENST00000614097	H2BC6
ENST00000614247	H4C4
ENST00000620016	H2AB1
ENST00000354514	H2AB2
ENST00000217926	H2BW1
ENST00000402707	H2BC16P
ENST00000613174	H2AC16
ENST00000331442	H1-5
ENST00000616365	H3C11
ENST00000618305	H4C13
ENST00000359303	H3C12
ENST00000479986	H3C12
ENST00000359611	H2AC17
ENST00000616182	H2BC17
ENST00000508758	H2AL1Q
ENST00000314088	H2AC6
ENST00000377791	H2AC6
ENST00000602637	H2AC6
ENST00000341023	H2AC7
ENST00000611953	H3C5P
ENST00000403259	H2AC9P
ENST00000244534	H1-3
ENST00000244537	H4C6
ENST00000611444	H4C7
ENST00000618052	H3C7
ENST00000377733	H2BC10
ENST00000404612	H3C9P
ENST00000415539	H2BL1P
ENST00000377803	H4C3
ENST00000634956	H4C8
ENST00000634560	H4C8
ENST00000377727	H4C8
ENST00000448797	H2AL3
ENST00000634733	H3C6
ENST00000614911	H3C6
ENST00000406085	H4C10P
ENST00000333151	H2AC14
ENST00000621112	H2BC14
ENST00000355057	H4C11
ENST00000685041	H3C10
ENST00000369163	H3C10
ENST00000644661	H2BK1
ENST00000358739	H2AC13
ENST00000541790	H2BC8
ENST00000377401	H2BC13
ENST00000612898	H2BC15
ENST00000449538	H2BC15
ENST00000606613	H2BC15
ENST00000356530	H2BC7
ENST00000619466	H2BC9
ENST00000614378	H3C8
ENST00000615164	H4C5
ENST00000377777	H2BC5
ENST00000289316	H2BC5
ENST00000377459	H2AC12
ENST00000649196	H2AQ1P
ENST00000355016	H2BW2
ENST00000675318	H2BW2
ENST00000417637	H2BW2
ENST00000703603	H2AC1
ENST00000297012	H2AC1
ENST00000274764	H2BC1
ENST00000441761	H2BW3P
ENST00000649891	H2AL1MP
ENST00000362070	H2AC10P
ENST00000406683	H2AC2P
ENST00000324382	H1-8
ENST00000503977	H1-8
ENST00000331491	H3C13
ENST00000331380	H2AC20
ENST00000331128	H2AC21
ENST00000544848	H2AJ
ENST00000389078	H2AJ
ENST00000501744	H2AJ
ENST00000530167	H2AX
ENST00000375167	H2AX
ENST00000600799	H3Y2
ENST00000598383	H3Y1
ENST00000707188	H2BC4
ENST00000314332	H2BC4
ENST00000396984	H2BC4
ENST00000358064	H4C16
ENST00000537096	H4C16
ENST00000541592	H4C16
ENST00000537853	H4C16
ENST00000540565	H4C16
ENST00000539745	H4C16
ENST00000650532	H3-7
ENST00000609879	H3-7
ENST00000392948	H3-7
ENST00000607124	H2BC11
