downstream_gene_variant	3'Flank
3_prime_UTR_variant	3'UTR
upstream_gene_variant	5'Flank
5_prime_UTR_variant	5'UTR
frameshift_variant	Frame_Shift_Del
inframe_deletion	In_Frame_Del
inframe_insertion	In_Frame_Ins
missense_variant	Missense_Mutation
coding_sequence_variant	Missense_Mutation
stop_gained	Nonsense_Mutation
stop_lost	Nonstop_Mutation
synonymous_variant	Silent
splice_donor_5th_base_variant	Splice_Region
splice_region_variant	Splice_Region
splice_donor_region_variant	Splice_Region
splice_polypyrimidine_tract_variant	Splice_Region
splice_acceptor_variant	Splice_Site
splice_donor_variant	Splice_Site
transcript_ablation	Targeted_Region
start_lost	Translation_Start_Site
